operacao,dado,tempo_ns,colisoes
INSERCAO,032323572,256,30
INSERCAO,355081265,519,56
INSERCAO,763860790,422,53
INSERCAO,430493140,343,54
INSERCAO,764831495,431,57
INSERCAO,330166669,436,35
INSERCAO,971142880,570,55
INSERCAO,363207590,410,56
INSERCAO,103888766,364,34
INSERCAO,709808460,451,57
INSERCAO,017660226,315,35
INSERCAO,194707950,395,58
INSERCAO,629855043,610,32
INSERCAO,011639567,445,51
INSERCAO,263281182,421,31
INSERCAO,727683600,438,59
INSERCAO,817798587,355,52
INSERCAO,257709842,272,32
INSERCAO,771060830,497,60
INSERCAO,368710325,560,58
INSERCAO,368331298,544,55
INSERCAO,180934537,466,53
INSERCAO,370773328,410,56
INSERCAO,523414457,371,54
INSERCAO,717842236,418,36
INSERCAO,417112140,599,61
INSERCAO,577363144,550,41
INSERCAO,810408132,441,33
INSERCAO,965175371,477,43
INSERCAO,753114068,442,57
INSERCAO,115000196,380,37
INSERCAO,753286495,449,59
INSERCAO,335727287,542,55
INSERCAO,626326846,300,38
INSERCAO,580681662,395,34
INSERCAO,446137965,418,60
INSERCAO,283701372,338,35
INSERCAO,923376405,519,61
INSERCAO,385251438,491,58
INSERCAO,001315366,320,39
INSERCAO,722927415,449,62
INSERCAO,194355137,470,56
INSERCAO,689171992,409,36
INSERCAO,257967952,321,37
INSERCAO,922479466,319,40
INSERCAO,112401621,596,44
INSERCAO,780219722,408,38
INSERCAO,093145754,496,42
INSERCAO,930063824,619,43
INSERCAO,072133877,468,57
INSERCAO,177650498,548,59
INSERCAO,652049816,405,41
INSERCAO,424458194,444,44
INSERCAO,604609634,480,45
INSERCAO,648837292,405,39
INSERCAO,941716316,332,42
INSERCAO,460500754,670,46
INSERCAO,798544932,328,40
INSERCAO,807246472,405,41
INSERCAO,503757485,622,63
INSERCAO,274958884,344,47
INSERCAO,659767251,613,45
INSERCAO,224754986,393,43
INSERCAO,492391399,593,36
INSERCAO,762404956,364,44
INSERCAO,553186305,496,64
INSERCAO,653277531,524,46
INSERCAO,669923951,373,47
INSERCAO,210864834,384,48
INSERCAO,652624711,381,48
INSERCAO,087524765,576,65
INSERCAO,433823696,357,45
INSERCAO,402200610,717,62
INSERCAO,178076139,440,37
INSERCAO,789424759,328,38
INSERCAO,557844544,463,49
INSERCAO,697360939,327,39
INSERCAO,875271520,489,63
INSERCAO,759443463,677,33
INSERCAO,188965417,617,58
INSERCAO,599466793,289,34
INSERCAO,974459279,455,40
INSERCAO,565522778,607,60
INSERCAO,284218789,312,41
INSERCAO,342895730,536,64
INSERCAO,148342927,465,59
INSERCAO,140618773,288,35
INSERCAO,278871497,442,60
INSERCAO,874510892,22425,42
INSERCAO,857563833,565,36
INSERCAO,900083687,712,61
INSERCAO,414193833,366,37
INSERCAO,341383132,476,43
INSERCAO,633655369,512,42
INSERCAO,939044702,345,44
INSERCAO,568291882,355,45
INSERCAO,972750802,354,46
INSERCAO,839673730,699,65
INSERCAO,360916070,430,66
INSERCAO,671185908,658,61
INSERCAO,099253553,459,38
INSERCAO,643336798,455,62
INSERCAO,872389255,720,66
INSERCAO,876027039,429,43
INSERCAO,307775960,561,67
INSERCAO,738299237,480,62
INSERCAO,203578757,375,63
INSERCAO,404062306,852,46
INSERCAO,914836589,468,44
INSERCAO,487486979,320,45
INSERCAO,816263929,415,46
INSERCAO,392462408,499,63
INSERCAO,784916040,528,68
INSERCAO,901242364,709,50
INSERCAO,781803929,435,47
INSERCAO,859196544,340,51
INSERCAO,266011845,597,67
INSERCAO,239413662,436,47
INSERCAO,590017124,412,52
INSERCAO,018210886,462,47
INSERCAO,519614296,357,48
