operacao,dado,tempo_ns,colisoes
INSERCAO,049397810,428,6
INSERCAO,681864611,490,8
INSERCAO,981099391,741,8
INSERCAO,996563731,378,7
INSERCAO,192593202,463,9
INSERCAO,899583276,544,5
INSERCAO,848349453,442,6
INSERCAO,132895916,484,5
INSERCAO,410111944,1162,7
INSERCAO,419977333,519,8
INSERCAO,691660400,392,6
INSERCAO,331128470,398,7
INSERCAO,681109813,777,9
INSERCAO,405723229,340,5
INSERCAO,069675539,514,4
INSERCAO,158287665,535,8
INSERCAO,578418115,553,7
INSERCAO,994962131,352,8
INSERCAO,980495285,484,4
INSERCAO,754426906,441,6
INSERCAO,577341531,314,3
INSERCAO,698876317,519,6
INSERCAO,099657401,553,8
INSERCAO,462298185,623,7
INSERCAO,864547597,685,6
INSERCAO,179759861,380,7
INSERCAO,160120961,373,8
INSERCAO,831671368,614,7
INSERCAO,592653891,529,6
INSERCAO,807626625,619,6
INSERCAO,759184893,529,4
INSERCAO,342897410,418,6
INSERCAO,280518709,441,6
INSERCAO,777317049,865,8
INSERCAO,910287219,348,4
INSERCAO,937184708,435,5
INSERCAO,119080099,379,4
INSERCAO,884079641,566,7
INSERCAO,033265063,571,4
INSERCAO,553273676,932,11
INSERCAO,385979805,320,4
INSERCAO,589180164,529,6
INSERCAO,158799453,844,8
INSERCAO,952708569,350,5
INSERCAO,543822776,453,10
INSERCAO,041411171,438,8
INSERCAO,896932807,401,7
INSERCAO,736820866,373,7
INSERCAO,340161326,714,9
INSERCAO,496866263,461,7
INSERCAO,076751057,1055,10
INSERCAO,318613180,423,8
INSERCAO,161769518,701,6
INSERCAO,526479878,478,5
INSERCAO,545845767,530,6
INSERCAO,574030329,1004,11
INSERCAO,256787677,365,5
INSERCAO,314342934,565,7
INSERCAO,036572964,694,7
INSERCAO,324641005,434,6
INSERCAO,152195128,361,7
INSERCAO,787094328,461,7
INSERCAO,172632551,510,9
INSERCAO,817609432,1090,5
INSERCAO,491213148,494,6
INSERCAO,541018996,595,11
INSERCAO,755055076,440,7
INSERCAO,771478714,435,5
INSERCAO,912484866,468,6
INSERCAO,271018133,674,5
INSERCAO,594231202,561,6
INSERCAO,996432585,446,5
INSERCAO,167779889,532,5
INSERCAO,687754987,639,7
INSERCAO,008976231,364,6
INSERCAO,223520114,502,7
INSERCAO,251187840,480,7
INSERCAO,287467269,576,7
INSERCAO,222917604,386,8
INSERCAO,949443344,523,5
INSERCAO,558857809,758,11
INSERCAO,415867575,446,5
INSERCAO,967792459,345,4
INSERCAO,608256286,811,11
INSERCAO,180981848,470,7
INSERCAO,865724682,848,6
INSERCAO,050448907,662,11
INSERCAO,983702251,776,8
INSERCAO,441608354,575,8
INSERCAO,724137560,694,7
INSERCAO,973569560,495,4
INSERCAO,127181447,439,11
INSERCAO,394154832,771,8
INSERCAO,951679824,450,6
INSERCAO,666435295,556,6
INSERCAO,011650469,606,3
INSERCAO,731908818,1010,8
INSERCAO,415097987,561,5
INSERCAO,682777481,762,9
INSERCAO,490176245,675,8
INSERCAO,306200854,607,8
INSERCAO,815281391,533,7
INSERCAO,343325439,590,4
INSERCAO,257599958,514,5
INSERCAO,867277036,742,8
INSERCAO,897662803,833,6
INSERCAO,368900106,816,10
INSERCAO,431401394,471,9
INSERCAO,401349810,627,6
INSERCAO,197609550,553,7
INSERCAO,425177679,410,5
INSERCAO,710228977,743,7
INSERCAO,209577126,686,6
INSERCAO,293969556,424,9
INSERCAO,137463476,660,6
INSERCAO,402563274,381,6
INSERCAO,979233629,616,5
INSERCAO,350638574,355,7
INSERCAO,384392501,1062,7
INSERCAO,870269725,800,4
INSERCAO,093154288,574,5
INSERCAO,745967879,538,8
INSERCAO,931908216,665,7
INSERCAO,223288817,642,8
INSERCAO,417465748,643,5
INSERCAO,434401402,640,6
INSERCAO,058539852,721,10
INSERCAO,391851746,684,11
INSERCAO,439555506,450,8
INSERCAO,013922831,851,9
INSERCAO,431293003,867,9
INSERCAO,218197872,707,10
INSERCAO,458788742,355,7
INSERCAO,909852160,437,4
INSERCAO,870035026,756,9
INSERCAO,733462373,599,5
INSERCAO,936699537,1005,8
INSERCAO,883796543,478,7
INSERCAO,081326286,491,5
INSERCAO,282835153,496,6
INSERCAO,989457262,524,5
INSERCAO,422518735,793,6
INSERCAO,018700967,347,3
INSERCAO,285631331,443,7
INSERCAO,096788306,531,5
INSERCAO,192856336,604,7
INSERCAO,351448919,469,5
INSERCAO,040864244,804,7
INSERCAO,294814257,444,6
INSERCAO,663453249,790,9
INSERCAO,629870860,668,5
INSERCAO,446196630,366,5
INSERCAO,250575970,620,8
INSERCAO,183035558,867,8
INSERCAO,639235967,578,6
INSERCAO,910385020,361,5
INSERCAO,951107289,552,6
INSERCAO,368806376,671,11
INSERCAO,983244430,441,5
INSERCAO,904857976,614,7
